,VaR1,VaR5,0,e1,e5
2013-12-05,0.98827757921377002,0.99179659140439536,0.996994641637,False,False
2013-12-06,0.98865966992160392,0.99213891097213147,1.0101597194,False,False
2013-12-09,0.98850980878963257,0.99186637452000725,1.00139496037,False,False
2013-12-10,0.98827490807244023,0.99168801019318731,0.996147634972,False,False
2013-12-11,0.98801285959826579,0.99163619774669465,0.986734588833,True,True
2013-12-12,0.98837058961945989,0.99190045810076422,0.997619082324,False,False
2013-12-13,0.98836085934562079,0.99183511554133075,1.00152625961,False,False
2013-12-16,0.98803096122259293,0.99168768580826916,1.00564818678,False,False
2013-12-17,0.98838065503081995,0.99160504812274852,0.998972875791,False,False
2013-12-18,0.98787153723407539,0.99158436523390403,1.01486354908,False,False
2013-12-19,0.98751229200100121,0.99127408147880403,0.997974490359,False,False
2013-12-20,0.98758729878795048,0.99141138063278067,1.00654392903,False,False
2013-12-23,0.9877429816618063,0.99162115704812503,1.00476079798,False,False
2013-12-24,0.98803050508605028,0.99172168257948523,1.00407286972,False,False
2013-12-26,0.9877983020408686,0.99166837922065465,1.00360798807,False,False
2013-12-27,0.98766078625828468,0.99142239877731086,1.0009506327,False,False
2013-12-30,0.98869991210632291,0.99182970812128612,1.00014506193,False,False
2013-12-31,0.98852529245291076,0.99204849109653248,1.00285735643,False,False
2014-01-02,0.98827437431811105,0.99182629327027627,0.991209284682,False,True
2014-01-03,0.98798978384299707,0.99171494584642128,1.00022650803,False,False
2014-01-06,0.98820240339864973,0.99185910863732418,0.997991189958,False,False
2014-01-07,0.98832896103079493,0.99190177174084204,1.00639141777,False,False
2014-01-08,0.98818191929352395,0.99187432824526833,0.999519772809,False,False
2014-01-09,0.98843053133181558,0.9919053928684558,0.99928665686,False,False
2014-01-10,0.98827882848832083,0.99176859054830635,1.0047531164,False,False
2014-01-13,0.98833367294719732,0.99168801141646157,0.988159322476,True,True
2014-01-14,0.98800473232102459,0.99155873898194069,1.01029342271,False,False
2014-01-15,0.98807357617986036,0.99152437151685913,1.00464998238,False,False
2014-01-16,0.98783182972570072,0.99165180638130546,1.00059478133,False,False
2014-01-17,0.98784190188549148,0.99158581579199401,0.996610427862,False,False
2014-01-21,0.98781508682575714,0.99157021124948685,1.00414633809,False,False
2014-01-22,0.98776113013295452,0.99156804598573778,1.0010916894,False,False
2014-01-23,0.98804364449638971,0.9916040686781743,0.992579894509,False,False
2014-01-24,0.98806388946833534,0.99174968217383086,0.979526576599,True,True
2014-01-27,0.98733101017575797,0.99145525330421569,0.994725333973,False,False
2014-01-28,0.98705892741783285,0.991260949244819,1.00679763997,False,False
2014-01-29,0.98752999286341858,0.99142987082826495,0.991773761016,False,False
2014-01-30,0.98691290036086488,0.99095347087106322,1.01112547965,False,False
2014-01-31,0.98706916212414841,0.99099905983386638,0.995952283229,False,False
